en,pr1aXn8_F3I,342,1346,the deadlier it lasted from around 1346 to 1353 and resulted in the deaths of somewhere#
en,pr1aXn8_F3I,349,75 million,resulted in the deaths of somewhere between 75 000000 people up to 200 000000 people it's mostly associated#
en,pr1aXn8_F3I,372,1918,spread by fleas that lived on gerbils let's fast-forward to 1918 and here we run into the Spanish flu pandemic which#
en,pr1aXn8_F3I,381,50 million,infected one in three humans alive at the time and killed about 50 000000 globally it's only called Spanish#
en,pr1aXn8_F3I,404,25 million,really quickly there were approximately 25 000000 deaths in just the first five or six months part of the reason for#
en,pr1aXn8_F3I,439,1980,and western Africa to every continent on the planet in the early 1980s and it's killed more than 30 000000 people#
en,pr1aXn8_F3I,442,30 million,the planet in the early 1980s and it's killed more than 30 000000 people around the world it's also the first#
en,pr1aXn8_F3I,474,2002,we have the Czar's pandemic which went from 2002 to 2003 and was also caused by a corona virus remember that's a whole#
en,pr1aXn8_F3I,492,2002,then spread to other parts of the world back in 2002 Chinese officials had a delay in sharing data about SARS and in#
en,qGSfK55Ggs4,111,1993,then in the 1990s he went into politics and became president in I think 1993 and served for about ten years and you see#
en,qGSfK55Ggs4,957,203,is more Soviet than the hotel Soviet in Moscow 203 there we go that's the light ship yeah Oh like you check it out#
en,qGSfK55Ggs4,1022,1930,policemen making a cool on the radio some filming but look at it 1930 Soviet architecture southern Caucasian Soviet#
en,h1sRFc5FiZA,818,92 9,of the soldiers are all from the year where they died in 92 92 93 which means that these are the soldiers who fell in#
en,h1sRFc5FiZA,830,92 9,that these are the soldiers who fell in the fight in the corner Kalibak 92 92 [Applause]#
en,o1bbazvx1O8,105,1920,Stalin builds years Stalin was here they're starving in the year 1920 Stalin came to exactly this spot I wonder if he#
en,o1bbazvx1O8,399,2019,well that's the end of the Russian travels for 2019 the weather's getting cold here oh we've had a good time we've#
en,o1bbazvx1O8,502,1700,fought over between Persia and Russia before eventually I'm in the 1700s Russia took control of the region and#
en,o1bbazvx1O8,615,000,we're here in Durban the oldest city in Russia it's about 2000 years old and there's lots of them police women#
en,bR_eA_c_Yts,2,400,[Music] 400 years ago a tribe emigrated from western mongolia and came here and#
en,bR_eA_c_Yts,459,1990,religion Buddhism didn't die out and then the 1990s after fall of the Soviet Union it's it regrew it sprouts again#
en,bR_eA_c_Yts,494,1942,were accused of collaborating with the invading German forces and so after 1942 they were exiled to the wastes of#
en,bR_eA_c_Yts,620,90210,American TV programs in Russian TV Baywatch nitride if every Hills 90210 and the people no doubt live here or#
en,6RQlQDp1uiU,777,1943,happened to the kalmyk people after the war in 1943 when the Germans were defeated in this region Stalin round up#
en,6RQlQDp1uiU,908,400,two bits of bread and a an aloe vera and he came to 400 rubles 400 rubles is about four pound fifty five dollars so#
en,6RQlQDp1uiU,1128,200,an hour fourth floor going up this room cost me 1200 rubles a night which i think is fifteen quid so let's check out#
en,uIpiHofuFDQ,305,100,with a Soviet spoon we're gonna go and meet aside in AWS grandmother who is 100 years old I've never met someone who's#
en,uIpiHofuFDQ,311,100,years old I've never met someone who's 100 years old hello see the great Johnny so this Barbara who's a hundred years#
en,uIpiHofuFDQ,723,777,language appear in Dagestan there are 777 frogs croaking under a bridge get ready for this and see who can repeat it#
en,NZWOcYNr5oE,458,100,films or something I can watch it but for the 100th time we are off to Chechnya join me might be fun#
en,LzZNUKEGboU,151,100,I've got a bit of a dilemma if I just walk to the church I'll be spotted 100% but it will look less suspect if I sneak#
en,W-hw42Fdg2s,33,100,like the last half hour I'm not sure 100% knows where to go these I first we went there we ask#
en,W-hw42Fdg2s,317,4000,around El Alto because although it's not hot here the Sun because red 4000 meters it's so bright and all my head was#
en,biI6dnz_WEc,34,1681,distillery in the entire Caribbean dates back to 1681 and speaking of drinks I didn't really#
en,biI6dnz_WEc,188,1998,brief secessionist movement with Nevis island they had a referendum in 1998 but it didn't pass they needed like a#
en,biI6dnz_WEc,344,2020,the Czech Republic from Jindra happy 2020 and congratulations for the two 000000 subscribers a nice fine piece of#
en,biI6dnz_WEc,450,100,cents from I think your name is Anton discontinued $100000 banknote that was issued one time in 1934 oh so you're#
en,biI6dnz_WEc,454,1934,discontinued $100000 banknote that was issued one time in 1934 oh so you're sending this from Dubai I don't know how#
en,y5FPRLgQ41Q,142,101,Stacia only about 15 miles or 25 kilometres northwest at only about 101 square miles in total land area it is#
en,y5FPRLgQ41Q,165,"16,0",Nevis with the capital and largest town with about 16000 people Basseterre located in the southern pocket of st.#
en,y5FPRLgQ41Q,173,000,second largest town with only about 3000 people the country has one main International Airport Robert L Bradshaw#
en,y5FPRLgQ41Q,230,2018,fun fact the country just got their first street lights in 2018 with a whopping 3 in Basseterre in addition the#
en,y5FPRLgQ41Q,266,300,cruise ships in fact they can host up to 300 a suspicious at once making them the smallest country in the world capable of#
en,y5FPRLgQ41Q,523,200,the country is a bird Haven with over 200 species found like the ensuing crested hummingbird the yellow Warbler#
en,y5FPRLgQ41Q,636,"54,0",demographics graph the country is made up of about 54000 people about three-quarters of whom live on st. Kitts#
en,y5FPRLgQ41Q,1035,130,Christopher Columbus spots the islands about 130 years later the British come in and make their first colony soon the#
en,y5FPRLgQ41Q,1056,2005,government closes the sugar industry officially in 2005 they highly switch things up to tourism and here we are#
en,5v0Ppl1B_wQ,21,2020,clearly you subscribe to this channel so I'm pretty sure you can agree make 2020 the year where you explore great new#
en,5v0Ppl1B_wQ,159,1966,Jeremy took over the West par and the u.s. took over the East part and in 1966 the UN actually kind of threw out the#
en,5v0Ppl1B_wQ,304,1986,people are Micronesians it is the most recent territory to join back in 1986 1975 they were given the option for#
en,5v0Ppl1B_wQ,307,1975,recent territory to join back in 1986 1975 they were given the option for independence but they decided to stick#
en,5v0Ppl1B_wQ,370,3 million,largest and most populous of all the territories with over 3.3 000000 people it is an unincorporated organized#
en,5v0Ppl1B_wQ,470,1917,Croix basically we bought these islands from Denmark back in 1917 this was like the last thing the Danes had in the#
en,5v0Ppl1B_wQ,583,560,more complicated because the US has over 560 recognized Native American Indian tribes and there are 326 Indian#
en,5v0Ppl1B_wQ,586,326,560 recognized Native American Indian tribes and there are 326 Indian reservations that most of them either#
en,rZfZyOaRFrc,42,2015,humanitarian work as posted on the royal house of Rwanda website in 2015 Rwanda was actually the first country to#
en,rZfZyOaRFrc,163,1962,bottom reads unity work and patriotism prior to this from 1962 to 2001 they actually had this coat of arms#
